"Iteration","Thrust (Turbine-01) Monitor: Thrust (Turbine-01) Monitor (N)"
3665.0,384192.4315712338
3666.0,384232.474449072
3667.0,384096.3879948971
3668.0,383765.4027305716
3669.0,383871.9879311468
3670.0,384170.8375733513
3671.0,384488.13720770174
3672.0,384606.9747253972
3673.0,384809.607991333
3674.0,384923.6025530343
3675.0,385012.441911528
3676.0,385092.50016692356
3677.0,385166.9494897747
3678.0,385227.160400819
3679.0,385221.6591665306
3680.0,385211.1295959989
3681.0,385190.27424229827
3682.0,385163.10726780986
3683.0,385107.60788624
3684.0,385070.858956377
3685.0,385078.209194492
3686.0,385075.3090408537
3687.0,385081.4513731566
3688.0,385091.07734351605
3689.0,385106.88261512667
3690.0,385117.27409447724
3691.0,385128.5286121843
3692.0,385132.33337286324
3693.0,385128.4030894999
3694.0,385124.18656825426
3695.0,385112.51423665846
3696.0,385104.3589515634
3697.0,385097.95168050664
3698.0,385093.22057151666
3699.0,385090.2231908947
3700.0,385088.73455448356
3701.0,385088.16627779324
3702.0,385087.9135353573
3703.0,385087.69925413805
3704.0,385087.3085926494
3705.0,385086.5258566391
3706.0,385085.3118779148
3707.0,385083.8825595615
3708.0,385082.31900691177
3709.0,385080.77339101734
3710.0,385079.39306263806
3711.0,385078.2082848088
3712.0,385077.2662247532
3713.0,385076.53086562874
3714.0,385076.0005932725
3715.0,385075.5762394157
3716.0,385075.30620846734
3717.0,385075.03956857155
3718.0,385074.76277569076
3719.0,385074.4525324648
3720.0,385074.14050000964
3721.0,385073.82690889057
3722.0,385073.5479777419
3723.0,385073.29214004654
3724.0,385073.0661184843
3725.0,385072.87847018655
3726.0,385072.6999948531
3727.0,385072.54393555166
3728.0,385072.3902140034
3729.0,385072.2446648497
3730.0,385072.087212756
3731.0,385071.96571427106
3732.0,385071.90287861886
3733.0,385071.88272715174
3734.0,385071.8401336063
3735.0,385071.81408360007
3736.0,385071.78633736
3737.0,385071.7483761182
3738.0,385071.7026418534
3739.0,385071.6805925965
3740.0,385071.67011175497
3741.0,385071.71818714036
3742.0,385071.7714076964
3743.0,385071.85354796686
3744.0,385071.92360880127
3745.0,385071.9715837846
3746.0,385072.02682298346
3747.0,385072.09711073927
3748.0,385072.1412572989
3749.0,385072.13820808654
3750.0,385072.1368260331
3751.0,385072.0806910548
3752.0,385072.08407970663
3753.0,385072.0949563899
3754.0,385072.10361330176
3755.0,385072.03765854746
3756.0,385072.02774086007
3757.0,385072.0750495553
3758.0,385072.1215247282
3759.0,385072.1761477684
3760.0,385072.22671729437
3761.0,385072.2670152046
3762.0,385072.287368294
3763.0,385072.3018270623
3764.0,385072.274749304
3765.0,385072.27819851093
3766.0,385072.37720088626
3767.0,385072.4259777833
3768.0,385072.4676620397
3769.0,385072.4948730548
3770.0,385072.46716511354
3771.0,385072.47121901804
3772.0,385072.4795508962
3773.0,385072.4784314987
3774.0,385072.447691897
3775.0,385072.4352369779
3776.0,385072.4457982416
3777.0,385072.4603192928
3778.0,385072.50485281384
3779.0,385072.54497984436
3780.0,385072.54374323215
3781.0,385072.5484280938
3782.0,385072.5180208243
3783.0,385072.5061417728
3784.0,385072.49862039124
3785.0,385072.4955345191
3786.0,385072.5186427447
3787.0,385072.52939642523
3788.0,385072.5479751388
3789.0,385072.55548502126
3790.0,385072.5558851668
3791.0,385072.55093409435
3792.0,385072.54643420305
3793.0,385072.5454826625
3794.0,385072.5476572825
3795.0,385072.5492332025
3796.0,385072.5641119385
3797.0,385072.5749918955
3798.0,385072.5887004776
3799.0,385072.6033742892
3800.0,385072.62559822004
3801.0,385072.63610166754
3802.0,385072.64114047284
3803.0,385072.62849113304
3804.0,385072.6224197248
3805.0,385072.61237655
3806.0,385072.59680733626
3807.0,385072.591767339
3808.0,385072.59323519224
3809.0,385072.59462689597
3810.0,385072.6030512865
3811.0,385072.60836251575
3812.0,385072.61890193314
3813.0,385072.62495604245
3814.0,385072.6305778254
3815.0,385072.6353460618
3816.0,385072.6408410988
3817.0,385072.64340290823
3818.0,385072.64483880845
3819.0,385072.64514291537
3820.0,385072.64291070966
3821.0,385072.6414596328
3822.0,385072.6379389215
3823.0,385072.63631344424
3824.0,385072.63513487106
3825.0,385072.6352243214
3826.0,385072.63609704276
3827.0,385072.6396410177
3828.0,385072.6421681798
3829.0,385072.6453006106
3830.0,385072.6500164968
3831.0,385072.6525076147
3832.0,385072.65471750364
3833.0,385072.6563553443
3834.0,385072.6572914087
3835.0,385072.6575178544
3836.0,385072.657271626
3837.0,385072.65670681326
3838.0,385072.65594984934
3839.0,385072.65446813067
3840.0,385072.6537429943
3841.0,385072.65307832346
3842.0,385072.6525996899
3843.0,385072.6523380426
3844.0,385072.6522782419
3845.0,385072.65241463383
3846.0,385072.65271259466
3847.0,385072.6531321196
3848.0,385072.65363553684
3849.0,385072.65418798174
3850.0,385072.6547549897
3851.0,385072.655307822
3852.0,385072.6558262497
3853.0,385072.6562995404
3854.0,385072.65672142943
3855.0,385072.65709098906
3856.0,385072.6574110803
3857.0,385072.6576868388
3858.0,385072.65792436927
3859.0,385072.6581304623
3860.0,385072.6583104162
3861.0,385072.6584677182
3862.0,385072.658603874
3863.0,385072.65871838847
3864.0,385072.6588092334
3865.0,385072.65887449216
3866.0,385072.6589109867
3867.0,385072.6589155461
3868.0,385072.6588865198
3869.0,385072.65882354614
3870.0,385072.65872868994
3871.0,385072.65860726085
3872.0,385072.6584634015
3873.0,385072.6583065733
3874.0,385072.658145717
3875.0,385072.6579892621
3876.0,385072.6578442682
3877.0,385072.65771863377
3878.0,385072.65761715575
3879.0,385072.6575424383
3880.0,385072.6574973789
3881.0,385072.65748192
3882.0,385072.6574966252
3883.0,385072.65753877553
3884.0,385072.65760313015
3885.0,385072.6576846056
3886.0,385072.6577774728
3887.0,385072.65787447465
3888.0,385072.65796966356
3889.0,385072.6580578777
3890.0,385072.65813461214
3891.0,385072.6581971602
3892.0,385072.65824469563
3893.0,385072.6582533722
3894.0,385072.65824087674
3895.0,385072.6582098868
3896.0,385072.65816462203
3897.0,385072.6581097785
3898.0,385072.658049637
3899.0,385072.65798894735
3900.0,385072.657931574
3901.0,385072.65787994256
3902.0,385072.6578361288
3903.0,385072.6578014806
3904.0,385072.6577763228
3905.0,385072.65776090487
3906.0,385072.6577547833
3907.0,385072.6577578969
3908.0,385072.6577690806
3909.0,385072.65778671834
3910.0,385072.65780908486
3911.0,385072.65785874164
3912.0,385072.65788250766
3913.0,385072.657906493
3914.0,385072.6579233353
3915.0,385072.65792564023
3916.0,385072.657919608
3917.0,385072.6579079143
3918.0,385072.65789270215
3919.0,385072.65787620965
3920.0,385072.657860456
